Common Name,Scientific Name,Order,Clade,Family
Sandhill Crane,Antigone canadensis,Gruiformes,Clade 2.3.4.4b,
Virginia Rail,Rallus limicola,Gruiformes,Clade 2.3.4.4b,
Pika,Ochotona princeps,Lagomorpha,Prior,Ochotonidae
Houbara Bustard,Chlamydotis undulata,Otidiformes,Prior,
American Crow,Corvus brachyrhynchos,Passeriformes,Clade 2.3.4.4b,
American Robin,Turdus migratorius,Passeriformes,Clade 2.3.4.4b,
Black Billed Magpie,Pica hudsonia,Passeriformes,Clade 2.3.4.4b,
Blue Jay,Cyanocitta cristata,Passeriformes,Clade 2.3.4.4b,
Carrion Crow,Corvus corone,Passeriformes,Clade 2.3.4.4b,
Cedar Waxwing,Bombycilla cedrorum,Passeriformes,Clade 2.3.4.4b,
Chestnut Munia,Lonchura atricapilla,Passeriformes,Prior,
Common Grackle,Quiscalus quiscula,Passeriformes,Clade 2.3.4.4b,
Common Raven,Corvus corax,Passeriformes,Clade 2.3.4.4b,
Fish Crow,Corvus ossifragus,Passeriformes,Clade 2.3.4.4b,
Crested Jay,Platylophus galericulatus,Passeriformes,Clade 2.3.4.4b,
Dark Eyed Junco,Junco hyemalis,Passeriformes,Clade 2.3.4.4b,
Daurian Jackdaw,Coloeus dauuricus,Passeriformes,Clade 2.3.4.4b,
Daurian Starling,Agropsar sturninus,Passeriformes,Clade 2.3.4.4b,
Eastern Bluebird,Sialia sialis,Passeriformes,Clade 2.3.4.4b,
Eurasian Blackbird,Turdus merula,Passeriformes,Clade 2.3.4.4b,
Eurasian Jackdaw,Coloeus monedula,Passeriformes,Clade 2.3.4.4b,
Eurasian Jay,Garrulus glandarius,Passeriformes,Clade 2.3.4.4b,
European Starling,Sturnus vulgaris,Passeriformes,Clade 2.3.4.4b,
Fieldfare,Turdus pilaris,Passeriformes,Clade 2.3.4.4b,
Gray Crow,Corvus tristis,Passeriformes,Clade 2.3.4.4b,
Great Tit,Parus major,Passeriformes,Prior,
Great-Tailed Grackle,Quiscalus mexicanus,Passeriformes,Clade 2.3.4.4b,
Hill Myna,Gracula religiosa,Passeriformes,Prior,
Hooded Crow,Corvus cornix,Passeriformes,Clade 2.3.4.4b,
House Finch,Haemorhous mexicanus,Passeriformes,Clade 2.3.4.4b,
House Sparrow,Passer domesticus,Passeriformes,Clade 2.3.4.4b,
Japanese White-Eye,Zosterops japonicus,Passeriformes,Prior,
Magpie,Pica pica (if Eurasian),Passeriformes,Clade 2.3.4.4b,
Meadow Bunting,Emberiza cioides,Passeriformes,Clade 2.3.4.4b,
Northwestern Crow,Corvus caurinus,Passeriformes,Clade 2.3.4.4b,
Paddyfield Pippet,Anthus rufulus,Passeriformes,Clade 2.3.4.4b,
Red Winged Blackbird,Agelaius phoeniceus,Passeriformes,Clade 2.3.4.4b,
Red Billed Starling,Spodiopsar sericeus,Passeriformes,Prior,
Rook,Corvus frugilegus,Passeriformes,Clade 2.3.4.4b,
Ruby Crowned Kinglet,Regulus calendula,Passeriformes,Clade 2.3.4.4b,
Scaly-breasted Munia,Lonchura punctulata,Passeriformes,Prior,
Sedge Warbler,Acrocephalus schoenobaenus,Passeriformes,Clade 2.3.4.4b,
Shrike,Lanius spp.,Passeriformes,Prior,
Snow Bunting,Plectrophenax nivalis,Passeriformes,Clade 2.3.4.4b,
Song Thrush,Turdus philomelos,Passeriformes,Clade 2.3.4.4b,
Swallow,Hirundinidae spp.,Passeriformes,Clade 2.3.4.4b,
American Tree Sparrow,Spizella arborea,Passeriformes,Clade 2.3.4.4b,
Tree Sparrow,Passer montanus,Passeriformes,Clade 2.3.4.4b,
American White Pelican,Pelecanus erythrorhynchos,Pelecaniformes,Clade 2.3.4.4b,
Black Crowned Night Heron,Nycticorax nycticorax,Pelecaniformes,Clade 2.3.4.4b,
Brown Pelican,Pelecanus occidentalis,Pelecaniformes,Clade 2.3.4.4b,
Buff Necked Ibis,Theristicus caudatus,Pelecaniformes,Clade 2.3.4.4b,
Cattle Egret,Bubulcus ibis,Pelecaniformes,Clade 2.3.4.4b,
Great Blue Heron,Ardea herodias,Pelecaniformes,Clade 2.3.4.4b,
Great Egret,Ardea alba,Pelecaniformes,Clade 2.3.4.4b,
Green Heron,Butorides virescens,Pelecaniformes,Clade 2.3.4.4b,
Little Egret,Egretta garzetta,Pelecaniformes,Clade 2.3.4.4b,
Peruvian Pelican,Pelecanus thagus,Pelecaniformes,Clade 2.3.4.4b,
Pond Heron,Ardeola grayii,Pelecaniformes,Clade 2.3.4.4b,
Roseate Spoonbill,Platalea ajaja,Pelecaniformes,Clade 2.3.4.4b,
Snowy Egret,Egretta thula,Pelecaniformes,Clade 2.3.4.4b,
White Faced Ibis,Plegadis chihi,Pelecaniformes,Clade 2.3.4.4b,
Equine (Horse),Equus caballus,Perissodactyla,Prior,Equidae
Flamingo,Phoenicopterus roseus ,Phoenicopteriformes,Clade 2.3.4.4b,
Black Necked Grebe,Colymbus nigricollis,Podicipediformes,Prior,
Clarks Grebe,Aechmophorus clarkii,Podicipediformes,Clade 2.3.4.4b,
Eared Grebe,Podiceps nigricollis,Podicipediformes,Clade 2.3.4.4b,
Great Crested Grebe,Podiceps cristatus,Podicipediformes,Clade 2.3.4.4b,
Great Grebe,Podiceps major,Podicipediformes,Clade 2.3.4.4b,
Horned Grebe,Podiceps auritus,Podicipediformes,Clade 2.3.4.4b,
Little Grebe,Tachybaptus ruficollis,Podicipediformes,Clade 2.3.4.4b,
Red Necked Grebe,Podiceps grisegena,Podicipediformes,Clade 2.3.4.4b,
Western Grebe,Aechmophorus occidentalis,Podicipediformes,Clade 2.3.4.4b,
Macaque (Rhesus),Macaca mulatta,Primates,Clade 2.3.4.4b,Cercopithecidae
Human,Homo sapiens,Primates,Clade 2.3.4.4b,
Great Shearwater,Ardenna gravis,Procellariiformes,Clade 2.3.4.4b,
Laysan Albatross,Phoebastria immutabilis,Procellariiformes,Clade 2.3.4.4b,
Manx Shearwater,Puffinus puffinus,Procellariiformes,Clade 2.3.4.4b,
Northern Fulmar,Fulmarus glacialis,Procellariiformes,Clade 2.3.4.4b,
White-chinned Petrel,Procellaria aequinoctialis,Procellariiformes,Clade 2.3.4.4b,
Short-tailed Shearwaters,Ardenna tenuirostris,Procellariiformes,Clade 2.3.4.4b,
Southern Fulmar,Fulmarus glacialoides,Procellariiformes,Clade 2.3.4.4b,
Southern Giant Petrel,Macronectes giganteus,Procellariiformes,Clade 2.3.4.4b,
Wandering Albatross,Diomedea exulans,Procellariiformes,Clade 2.3.4.4b,
Amazon Parrot,Psittacus amazonicus ,Psittaciformes,Clade 2.3.4.4b,
Catalina Macaw,Ara hybrida ,Psittaciformes,Clade 2.3.4.4b,
Greater Rhea,Rhea americana,Rheiformes,Clade 2.3.4.4b,
Lesser Rhea,Rhea pennata,Rheiformes,,
House Mouse,Mus musculus,Rodentia,Clade 2.3.4.4b,Muridae
